,Name,Party
316,IBRAHIM BIN ARIFF,Pertubuhan Kebangsaan Melayu Singapura
317,IBRAHIM BIN JAFFAR,United People's Party
318,IBRAHIM BIN OTHMAN,People's Action Party
319,INDERJIT SINGH,People's Action Party
320,INDRANEE THURAI RAJAH,People's Action Party
321,INTAN AZURA BINTE MOKHTAR,People's Action Party
322,ISAAC  ARTHUR K.,Singapore Alliance
323,ISHAK BIN HAROUN,Singapore Democratic Alliance
324,ISMAIL BIN MOHD YAACOB,Workers' Party
325,ISWARAN  S.,People's Action Party
326,JABBAR  MOHAMED KASSIM ABDUL,People's Action Party
327,JAFFAR BIN ABDUL GHANI,Malay Union
328,JAGANATHAN SAMINATHAN,Independent
329,JAGATHEESAN KALIMUTHU,Independent
330,JAMAL BIN IDRIS,Pertubuhan Kebangsaan Melayu Singapura
331,JAMES  FRANK CAULFIELD,Progressive Party
332,JAMNADAS  JIWANBHAI MEHTA,Independent
333,JANTAN BIN TAIB,United People's Front
334,JAYAKUMAR SHUNMUGAM,People's Action Party
335,JEISILAN SIVALINGAM,National Solidarity Party
336,JEK YEUN THONG,People's Action Party
337,JEYARETNAM  JOSHUA BENJAMIN,Workers' Party
338,JEYARETNAM  KENNETH ANDREW,Reform Party
339,JIVABHAI  HASSAN ALI,Independent
340,JOHARI BIN SONTO,Partai Rakyat
341,JOHNSON  PATRICK JOSEPH,Labour Party
342,JOSEPH  ARTHUR,Independent
343,JOSEPH  T. T.,Independent
344,JOSEPH  VARGHESE,Singapore Justice Party
345,JUKRI BIN PARJO,Barisan Sosialis
346,JUMABHOY  JUMABHOY MOHAMED,Singapore People's Alliance
347,JUMABHOY  RAJABALI,Independent
348,KAMARUDDIN BIN HASSAN,United National Front
349,KANAGASABAI GOVINDAPILLAI MARUTHAMUTHOO,Independent
350,KANDASAMY GOVINDASAMY,People's Action Party
351,KANG MENG KIM,People's Action Party
352,KARTHIGESU MOOTATAMBY,Liberal Socialist Party
353,KARUPPIAH NALLIAH,Progressive Party
354,KASIM BIN IBRAHIM,United People's Front
